引用符	引用符_ローマ字	文献リスト

浅川清流環境組合, 2020	Asakawa Seiryu Environmental Association, 2020	"浅川清流環境組合，2020，「可燃ごみ処理施設」，浅川清流環境組合ホームページ，（2024年8月9日取得，https://asakawa.ekankyo21.com/wp-content/themes/asakawa/pdf/panf_j2203.pdf ）．"
ダイオキシン排出抑制対策検討会, 1999	Dioxin Emission Reduction Measures Study Committee, 1999	"ダイオキシン排出抑制対策検討会，1999，『ダイオキシン排出抑制対策検討会第二次報告』環境省ホームページ, (2025/08/09取得, https://www.env.go.jp/content/900519609.pdf , https://www.env.go.jp/content/900519619.pdf)"
藤村, 2022	Fujimura, 2022	"藤村明弘，2022，「窮地に立たされている日本の電力を支える火力発電　経産省，2023年度から水素・アンモニア発電の投資を後押し」，EnergyShift，（2025年8月8日取得，https://energy-shift.com/news/f592747b-0b1b-4022-abd9-620b9eb21e38)"
東, 2022	Higashi, 2022	"東孝司，2022，「徳島市が広域ごみ処理計画から脱退表明　周辺4市町は反発」，朝日新聞デジタル，2022年12月1日，（2025年8月9日取得，https://www.asahi.com/articles/ASQCZ7R58QCZPTLC014.html ）．"
JERA, 2023	JERA, 2023	"JERA，2023，「JERAグループ統合報告書2023」，JERAホームページ，（2025年8月8日取得，https://www.jera.co.jp/static/files/corporate/CCB/JERA_report2023_JP_1116.pdf ）．"
環境省, 2022	Ministry of the Environment, 2022	"環境省，2022，「令和4年度一般廃棄物処理事業実態調査結果　施設整備状況・施設別整備状況」，（2025年7月19日取得，https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00650101&tstat=000001224220&cycle=7&tclass1=000001224223&tclass2=000001224224&tclass3val=0 ）．"
環境省 環境再生・資源循環局, 2024	Ministry of the Environment, Environmental Regeneration and Resource Circulation Bureau, 2024	環境省 環境再生・資源循環局，2024，『中長期における持続可能な適正処理の確保に向けたごみ処理の広域化及びごみ処理施設の集約化について（通知）』,環境省ホームページ, (2025年8月20日取得, https://www.env.go.jp/recycle/waste/3r_network/7_misc/koiki-shuyaku.pdf )．
京都市, 2019	Kyoto City, 2019	"京都市，2019，『京都市南部クリーンセンター』，（2024年8月3日取得，https://www.city.kyoto.lg.jp/kankyo/cmsfiles/contents/0000270/270765/270765_panfu.pdf ）．"
京都市, 2022	Kyoto City, 2022	"京都市，2022，「東北部クリーンセンターフロー」，京都市情報館，（2025年8月9日取得，https://www.city.kyoto.lg.jp/kankyo/page/0000125922.html ）．"
森谷, 1990	Moriya, 1990	"森谷昭司，1990，「清掃工場における排熱利用の現状と今後の課題」『調査季報：横浜の政策力』横浜市政策局，(168): 19-26．"
Ohji & Haraguchi, 2022	Ohji & Haraguchi, 2022	"Ohji, A. and M. Haraguchi, 2022, “Steam Turbine Cycles and Cycle Design Optimization: The Rankine Cycle, Thermal Power Cycles, and Integrated Gasification-Combined Cycle Power Plants,” Tadashi Tanuma ed., Advances in Steam Turbines for Modern Power Plants (Second Edition), Cambridge: Woodhead Publishing, 11-40. https://doi.org/10.1016/B978-0-12-824359-6.00020-2 ."
札幌市, 2018	Sapporo City, 2018	"札幌市，2018，『駒岡清掃工場更新基本計画（案）』(2025年8月9日取得, https://www.city.sapporo.jp/seiso/kensetsu/publiccomment.html )．"
Starr, 2014	Starr, 2014	"Starr, Frank, 2014, “High Temperature Materials Issues in the Design and Operation of Coal-Fired Steam Turbines and Plant,” Antonio Vizureanu ed., Structural Alloys for Power Plants, Cambridge: Woodhead Publishing, 36-68. https://doi.org/10.1533/9780857097552.1.36 ."
読売新聞, 2025	Yomiuri Newspaper, 2025	"読売新聞，2025，「南伊豆町組合脱退へ　計画白紙解散の見通し」，読売新聞オンライン，（2025年8月9日取得, https://www.yomiuri.co.jp/local/shizuoka/news/20250521-OYTNT50254/ ) ."
環境省 環境再生・資源循環局 廃棄物適正処理推進課, 2023	Ministry of the Environment, Environmental Regeneration and Resource Circulation Bureau, Waste Proper Treatment Promotion Division, 2023	"環境省 環境再生・資源循環局 廃棄物適正処理推進課，2023，『廃棄物処理施設整備計画』，環境省ホームページ，（2025年8月20日取得，https://www.env.go.jp/press/press_01789.html ）．"
環境省 環境再生・資源循環局, 2019	Ministry of the Environment, Environmental Regeneration and Resource Circulation Bureau, 2019	"環境省 環境再生・資源循環局，2019，『持続可能な適正処理の確保に向けたごみ処理の広域化及びごみ処理施設の集約化について（通知）』,環境省ホームページ,  (2025年8月20日取得, https://www.env.go.jp/content/900479543.pdf )．"
厚生省 生活衛生局 水道環境部 環境整備課, 1997	Ministry of Health and Welfare, Environmental Health Bureau, Water Supply and Environmental Sanitation Department, Environmental Improvement Division, 1997	"厚生省 生活衛生局 水道環境部 環境整備課，1997，『ごみ処理の広域化計画について（衛環173号）』，環境省ホームページ, (2025年8月20日取得, https://www.env.go.jp/hourei/11/000138.html )．"
中村・花嶋, 2023	Nakamura & Hanajima, 2023	"中村修・花嶋温子，2023，「福岡県南部地区におけるごみ焼却施設の広域的統廃合に関する事例研究」『大阪産業大学論集 人文・社会科学編』48: 95-110，（2025年8月20日取得，https://cir.nii.ac.jp/crid/1050015719934239744 ）．"
笹尾, 2020	Sasao, 2020	"笹尾俊明，2020，「一般廃棄物の収集運搬・処理費用に関する計量経済分析」『廃棄物資源循環学会論文誌』31: 75-87，（ doi:10.3985/jjsmcwm.31.75 ）．"
